id,type,attributes_organization_id,attributes_organization_name,attributes_organization_abbreviation,attributes_service_provider_id,attributes_service_provider_name,attributes_collection_id,attributes_collection_name,attributes_collection_year,attributes_collection_quarter,attributes_service_provided,attributes_transaction_point,attributes_channel,attributes_volume_of_customers,attributes_volume_of_customers_provided_survey_opportunity,attributes_volume_of_respondents,attributes_omb_control_number,attributes_federal_register_url,attributes_q1_text,attributes_q1_1,attributes_q1_2,attributes_q1_3,attributes_q1_4,attributes_q1_5,attributes_q1_point_scale,attributes_q2_text,attributes_q2_1,attributes_q2_2,attributes_q2_3,attributes_q2_4,attributes_q2_5,attributes_q2_point_scale,attributes_q3_text,attributes_q3_1,attributes_q3_2,attributes_q3_3,attributes_q3_4,attributes_q3_5,attributes_q3_point_scale,attributes_q4_text,attributes_q4_1,attributes_q4_2,attributes_q4_3,attributes_q4_4,attributes_q4_5,attributes_q4_point_scale,attributes_q5_text,attributes_q5_1,attributes_q5_2,attributes_q5_3,attributes_q5_4,attributes_q5_5,attributes_q5_point_scale,attributes_q6_text,attributes_q6_1,attributes_q6_2,attributes_q6_3,attributes_q6_4,attributes_q6_5,attributes_q6_point_scale,attributes_q7_text,attributes_q7_1,attributes_q7_2,attributes_q7_3,attributes_q7_4,attributes_q7_5,attributes_q7_point_scale,attributes_q8_text,attributes_q8_1,attributes_q8_2,attributes_q8_3,attributes_q8_4,attributes_q8_5,attributes_q8_point_scale,attributes_q9_text,attributes_q9_1,attributes_q9_2,attributes_q9_3,attributes_q9_4,attributes_q9_5,attributes_q9_point_scale,attributes_q10_text,attributes_q10_1,attributes_q10_2,attributes_q10_3,attributes_q10_4,attributes_q10_5,attributes_q10_point_scale,attributes_q11_text,attributes_q11_1,attributes_q11_2,attributes_q11_3,attributes_q11_4,attributes_q11_5,attributes_q11_point_scale,attributes_created_at,attributes_updated_at,attributes_operational_metrics,attributes_service_id,attributes_service_name,attributes_service_slug,service_desc,service_provider_desc
1,omb_cx_reporting_collections,2129,Department of Veterans Affairs,VA,21,Veterans Health Administration,1,CX Quarterly Reporting,2021,2,Outpatient Services,Follow-up Survey upon receiving Outpatient Services ,email,9707552.0,1774363.0,320979,2900-0770 ,,I am satisfied with the service I received from the VA.,2302,3118,10615,55358,249586,4.7,I trust VA to fulfill our country’s commitment to Veterans,3798,5267,22026,80315,209573,4.52,My need was addressed. ,2582,2894,9739,61271,244493,4.69,It was easy to complete what I needed to do.,4275,7295,17366,78954,213090,4.52,It took a reasonable amount of time to do what I needed to do.,4161,4065,7254,51812,253687,4.7,I was treated fairly.,3391,2147,8677,57618,249145,4.7,Employees I interacted with were helpful.,2349,2365,7840,52716,255710,4.74,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-05-13T23:05:19.090Z,2021-08-04T19:44:05.084Z,,2,Receiving outpatient services,va-vha,VHA sends email surveys to everyone who receives outpatient services. ,"The Veterans Health Administration (VHA) is the largest integrated health care system in the United States, providing care at 1,293 health care facilities, including 171 VA Medical Centers and 1,112 outpatient sites of care of varying complexity to over 9 million Veterans enrolled in the VA health care program."
2,omb_cx_reporting_collections,2111,Department of Education,ED,15,Federal Student Aid,2,CX Quarterly Reporting,2021,2,FAFSA.gov,at FAFSA submission,computer,46000000.0,267000.0,3000,1845-0045,,"Using a 10-point scale on which “1” means “very dissatisfied” and 10 means “very satisfied”, how satisfied are you with your experience using fafsa.gov? (FAFSA.gov)",173,122,264,621,1820,4.26,"Using a scale of 1 to 10 where “1” means “not at all likely” and “10” means “very likely”, how likely would you be to use the Web site to apply for federal student aid in the future?   (FAFSA.gov)",88,47,205,418,2242,4.56,"On a scale from 1 to 10, where “1” means “poor” and “10” means “excellent”, how would you rate how useful the help was  (FAFSA.gov)",151,135,306,665,1744,4.24,"On a scale from 1 to 10, where “1” means “poor” and “10” means “excellent”, how would you rate The ease of navigating through the application.  (FAFSA.gov)",142,117,275,559,1907,4.32,"On a scale of 1 to 10, where “1” means “poor” and “10” means “excellent”, how would you rate The time it took to answer your question.  (FAFSA.gov)",278,139,317,628,1639,4.07,"Imagine the ideal Web site for applying for federal student aid. How well do you think fafsa.gov compares with the ideal you just imagined? Use a 10-point scale on which ""1"" means ""not very close to the ideal,"" and ""10"" means ""very close to the ideal.” (FAFSA.gov)",194,134,356,680,1635,4.14,"On a scale of 1 to 10, where “1” means “poor” and “10” means “excellent”, how would you rate the Courtesy of the representative who helped you.  (FAFSA.gov)",158,87,221,458,2076,4.4,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-05-14T05:25:07.624Z,2021-08-04T19:21:24.493Z,,22,Applying for Financial Aid,ed-fsa,FSA measures customer satisfaction of the FAFSA submission process on its FAFSA.gov and the myStudentAid App. ,"Federal Student Aid (FSA) seeks to ensure that all eligible individuals can benefit from Federal financial assistance for education beyond high school. FSA provides more than $120 billion in grants, work-study, and loan funds each year to help pay for college or career school. FSA processes approximately 20 million FAFSA submissions annually."
3,omb_cx_reporting_collections,2111,Department of Education,ED,15,Federal Student Aid,2,CX Quarterly Reporting,2021,2,myStudentAid app,At FAFSA submission,mobile,166000.0,166000.0,1100,1845-0045,,"Using a 10-point scale on which “1” means “very dissatisfied” and 10 means “very satisfied”, how satisfied are you with your experience using the myStudentAid app? (myStudentAid App mobile FAFSA)",61,44,69,179,747,4.37,"Using a scale of 1 to 10 where “1” means “not at all likely” and “10” means “very likely”, how likely would you be to use the myStudentAid App to apply for federal student aid in the future?  (myStudentAid App mobile FAFSA)",47,37,83,123,810,4.47,"On a scale from 1 to 10, where “1” means “poor” and “10” means “excellent”, how would you rate the effectiveness of the help topics answering your questions?  (myStudentAid App mobile FAFSA)",53,43,115,263,625,4.24,"On a scale from 1 to 10, where “1” means “poor” and “10” means “excellent”, how would you rate The ease of navigating through the application.  (myStudentAid App mobile FAFSA)",50,34,58,167,791,4.47,"Using a 10-point scale on which “1” now means “Falls Short of your Expectations” and “10” means “Exceeds your Expectations”, to what extent did your experience using the myStudentAid App meet your expectations?  (myStudentAid App mobile FAFSA)",63,39,94,197,708,4.32,"Imagine your ideal for an app to apply for federal student aid. How well do you think the myStudentAid app compares with the ideal you just imagined? Use a 10-point scale on which ""1"" means ""not very close to the ideal,"" and ""10"" means ""very close to the ideal.” (myStudentAid App mobile FAFSA)",62,49,99,216,674,4.26,"On a scale of 1 to 10, where “1” means “poor” and “10” means “excellent”, how would you rate the Courtesy of the representative who helped you.",58,32,81,168,761,4.4,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-05-14T05:33:29.668Z,2021-08-04T19:21:18.048Z,,22,Applying for Financial Aid,ed-fsa,FSA measures customer satisfaction of the FAFSA submission process on its FAFSA.gov and the myStudentAid App. ,"Federal Student Aid (FSA) seeks to ensure that all eligible individuals can benefit from Federal financial assistance for education beyond high school. FSA provides more than $120 billion in grants, work-study, and loan funds each year to help pay for college or career school. FSA processes approximately 20 million FAFSA submissions annually."
4,omb_cx_reporting_collections,2106,Office of Personnel Management ,OPM,13,Retirement Services,3,CX Quarterly Reporting,2021,2,"Retirement claims processing and customer service transactions (Services Online, phone, email) ",Email survey to customers who had specific customer service transactions each quarter.,computer,,90080.0,13002,3206-0236,,I am satisfied with the service I received from OPM Retirement Services.,1014,910,988,4031,6059,4.02,This interaction increased my confidence in Services Online OPM Retirement Services.,910,962,2223,4343,4577,3.82,My need was addressed by OPM Retirement Services. ,923,793,1222,4252,5812,4.02,It was easy to complete what I needed to do with OPM Retirement Services.,1027,1040,1261,4317,5357,3.92,It took a reasonable amount of time to do what I needed to do with OPM Retirement Services.,1287,1196,1378,4473,4681,3.77, OPM Retirement Services treated me fairly.,585,390,1950,4317,5760,4.1,OPM Retirement Services personnel  were helpful.,676,598,2951,3693,5071,3.92,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-05-14T06:09:22.216Z,2021-08-09T05:16:06.129Z,,18,Applying for retirement benefits,opm-rs,"Surveys are sent to those who are filing retirement claims and other customer services transactions via email, phone and website. ","Provides benefits for more than 2.7 million annuitants, survivors, and family members."
5,omb_cx_reporting_collections,2106,Office of Personnel Management ,OPM,13,Retirement Services,3,CX Quarterly Reporting,2021,2,Services Online (SOL) ,Following logon to site ,computer,1493089.0,1175824.0,40868,3206-0276,,I am satisfied with the service I received from Services Online.,1196,1226,2452,7739,28199,4.48,This interaction increased my confidence in Services Online.,1238,1090,4539,8991,24929,4.36,My need was addressed. ,2125,1311,2043,5524,29834,4.46,It was easy to complete what I needed to do.,2452,1635,2458,6518,28363,4.37,It took a reasonable amount of time to do what I needed to do.,2392,1536,2921,6948,26973,4.34,I was easily able to access the website on my device.,890,609,1831,6514,31023,4.62,The website helped me do what I needed to do.,1965,1153,2043,5882,29434,4.47,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-05-14T06:17:22.773Z,2021-08-04T19:47:06.723Z,,18,Applying for retirement benefits,opm-rs,"Surveys are sent to those who are filing retirement claims and other customer services transactions via email, phone and website. ","Provides benefits for more than 2.7 million annuitants, survivors, and family members."
6,omb_cx_reporting_collections,2106,Office of Personnel Management ,OPM,12,Federal Employment Services,4,CX Quarterly Reporting,2021,2,USAJOBS Job Seeker Portal,Visit three or more screens on the website,computer,13854596.0,2084.0,789,3206-0276,,I am satisfied with the service I received from USA JOBS.,71,55,126,229,308,3.82,This interaction increased my confidence in USA JOBS.,71,63,166,189,292,3.73,My need was addressed. ,71,55,158,229,276,3.74,It was easy to complete what I needed to do.,79,63,150,229,276,3.7,It took a reasonable amount of time to do what I needed to do.,79,55,166,221,268,3.69,I was easily able to access the website on my device.,39,32,103,229,387,4.13,The website helped me do what I needed to do.,63,47,150,229,292,3.82,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-05-14T06:26:51.372Z,2021-08-04T19:48:20.440Z,,17,Applying to Federal job opportunities,opm-fes,"U.S. citizens seeking a Federal employment opportunity include students graduating, military service members separating from active duty, and current Federal employees looking for a promotion or lateral position. USAJOBS offers a single place for job seekers to find Federal job opportunities and the ability to reuse application materials when applying to multiple opportunities.","Every day, USAJobs hosts over 900 jobs and manages 6 million profiles. The platform has over 200 million site visits a year."
7,omb_cx_reporting_collections,2106,Office of Personnel Management ,OPM,12,Federal Employment Services,4,CX Quarterly Reporting,2021,2,USAJOBS Job Seeker Portal (mobile),Visit three or more screens on the website,mobile,10942332.0,10451.0,5975,3206-0276,,I am satisfied with the service I received from USA JOBS.,239,239,777,1494,3227,4.21,This interaction increased my confidence in USA JOBS.,299,299,896,1434,3047,4.11,My need was addressed. ,299,239,896,1434,3107,4.14,My need was addressed.  It was easy to complete what I needed to do.,359,299,896,1434,2988,4.07,It took a reasonable amount of time to do what I needed to do.,299,359,1016,1494,2808,4.03,I was easily able to access the website on my device.,120,120,657,1434,3645,4.4,The website helped me do what I needed to do.,239,299,896,1494,3107,4.15,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-05-14T06:36:09.579Z,2021-08-04T19:48:25.803Z,,17,Applying to Federal job opportunities,opm-fes,"U.S. citizens seeking a Federal employment opportunity include students graduating, military service members separating from active duty, and current Federal employees looking for a promotion or lateral position. USAJOBS offers a single place for job seekers to find Federal job opportunities and the ability to reuse application materials when applying to multiple opportunities.","Every day, USAJobs hosts over 900 jobs and manages 6 million profiles. The platform has over 200 million site visits a year."
8,omb_cx_reporting_collections,2130,Department of State,DOS,40,Passport Services,10,CX Quarterly Reporting,2021,2,Passport information and status on pending passport applications,Immediately following a phone call with a customer service representative,automated_phone,1309231.0,130923.0,2574,1090-0007,,I am satisfied with the service I received from the National Passport Information Center,86,0,0,0,0,1.0,How likely are you to recommend the National Passport Information Center? ,85,0,0,0,0,1.0,How satisfied were you with the information provided to you by the agent? ,87,0,0,0,0,1.0,"If you requested to speak to an agent, please rate your wait time. ",75,0,0,0,0,1.0,NONE,0,0,0,0,0,,NONE,0,0,0,0,0,,How professional was the agent you spoke with?  ,89,0,0,0,0,1.0,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-05-14T06:41:33.587Z,2021-08-04T19:39:08.343Z,,25,Passport Services,dos-ca,"Passport Services is a directorate within the Bureau of Consular Affairs at the U.S. Department of State. The mission of Passport Services is to facilitate international travel and enhance national security by issuing secure travel documents to U.S. citizens and nationals while providing the highest level of customer service, professionalism, and integrity. It has the most interactions with U.S. citizens than any other bureau with the Department. In Fiscal Year 2018, Passport Services issued 21.1 million passport books and cards. There are currently 127 million valid U.S. passports and 42 percent of all U.S. citizens have a passport. U.S. citizens can apply for their passport at one of the 27 domestic passport agencies or centers or at one of the 7,600 passport acceptance facilities located throughout the U.S. Citizens can also renew their passport conveniently through the mail. The key services offered are information and assistance in applying for, renewing and reporting a lost or stolen passport; the processing of applications and issuance of passports; and 24/7 availability of duty officers to assist customers with life and death emergencies. Customers can receive information on how to apply, access passport application forms, locate a nearby passport acceptance facility and schedule an appointment online at a passport agency by visiting the Department's official website at travel.state.gov.","Passport Services is a directorate within the Bureau of Consular Affairs at the U.S. Department of State. The mission of Passport Services is to facilitate international travel and enhance national security by issuing secure travel documents to U.S. citizens and nationals while providing the highest level of customer service, professionalism, and integrity. It has the most interactions with U.S. citizens than any other bureau with the Department. In Fiscal Year 2018, Passport Services issued 21.1 million passport books and cards. There are currently 127 million valid U.S. passports and 42 percent of all U.S. citizens have a passport. U.S. citizens can apply for their passport at one of the 27 domestic passport agencies or centers or at one of the 7,600 passport acceptance facilities located throughout the U.S. Citizens can also renew their passport conveniently through the mail. The key services offered are information and assistance in applying for, renewing and reporting a lost or stolen passport; the processing of applications and issuance of passports; and 24/7 availability of duty officers to assist customers with life and death emergencies. Customers can receive information on how to apply, access passport application forms, locate a nearby passport acceptance facility and schedule an appointment online at a passport agency by visiting the Department's official website at [travel.state.gov](https://travel.state.gov)."
9,omb_cx_reporting_collections,2098,Department of Agriculture,USDA,5,Recreation.gov,6,CX Quarterly Reporting,2021,2,Recreation.gov,"5% of website users are presented with the survey after visiting 5 pages, and spending more than one minute on the site",computer,8700000.0,381294.0,12701,0596-0226,,I am satisfied with the service I received from Recreation.gov,1905,1397,1397,3429,4572,3.58,This interaction increased my confidence in Recreation.gov,2032,1524,2159,2921,4064,3.43,I was able to accomplish what I wanted to do on Recreation.gov,2794,1270,1143,2921,4572,3.41,It was easy to complete what I needed to do. ,3048,1524,1397,2540,4064,3.24,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-05-14T06:48:39.457Z,2021-08-04T17:22:23.397Z,,7,Reserving a campsite on Recreation.gov,reserving-a-campsite,"Recreation.gov users are predominantly domestic with 98 percent of all sessions conducted within the United States.  Visitors to Recreation.gov often seek inspiration for a trip, research destinations, learn about details for a successful visit, and make reservations. Camping provides an authentic and immersive experience within public land and water destinations across the country.  These experiences influence how visitors value these public spaces and can lead to a lifetime of connection and stewardship.","Recreation.gov provides a gateway to discover our nation's hidden treasures and engage in timeless outdoor recreation and cultural activities. 21,000,000+ users, reserve experiences at over 4,200 facilities and 113,000 individual sites across the country."
10,omb_cx_reporting_collections,2131,Social Security Administration,SSA,14,Social Security Administration,7,CX Quarterly Reporting,2021,2,Online Services,ForeSee Survey,computer,47431340.0,10502662.0,107528,0960-0818,,I am satisfied with the service I received from the Social Security Administration,4462,2620,7672,24798,67976,4.39,This interaction increased my confidence in the Social Security Administration,4050,2788,16984,28330,55376,4.19,My need was addressed,7173,3763,7958,20430,68364,4.29,It was easy to complete what I needed to do,6728,3607,7825,22207,67161,4.3,It took a reasonable amount of time to do what I needed to do,7171,4385,9702,22286,63984,4.22,I was treated fairly,0,0,0,0,0,,Employees I interacted with were helpful,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-05-14T06:58:51.568Z,2021-08-04T19:49:34.578Z,,19,Accessing  Social Security services online,ssa-oo,SSA surveys people who use their online services. ,"The Social Security Administration (SSA) serves over 40 million retirees and their loved ones each year. For the 55 million spouses and dependents of retirees who have passed on, the Old-Age & Survivors Insurance (OASI) pays them over $944 billion in benefits a year. For the 10 million retirees who are disabled, the Disability Insurance program (DI) pays them about $145 billion. The Supplemental Security Income pays over $55 billion to nearly 8 million people who both are low-income and have a disability."
