ID,UUID,Satisfaction,Trust/Confidence,Effectiveness/Quality,UserGroup,Years,Region,Ease/Simplicity,Efficiency/Speed,Equity/Transparency,Helpfulness,FreeText,Created At,Page,Referrer,User Agent
2023-08-27_17:35:06-1,aafc75bd-5254-,5,4,4,Group4,3-4 years,Region4,3,4,3,3,,2021-11-17 19:09:38 UTC,/contact/,nan,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
2023-08-27_17:35:06-2,e8db984b-3d58-,4,3,4,Group3,2-3 years,Region3,3,1,1,1,,2021-11-17 19:13:53 UTC,/contact/,nan,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
2023-08-27_17:35:06-3,1b024298-84ba-,5,3,5,Group3,2-3 years,Region4,2,2,2,3,,2021-11-29 18:18:57 UTC,/site/hisp/beepbeepgov-website/contact/,nan,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36"
2023-08-27_17:35:06-4,2f1481f6-d4dd-,4,4,2,Group2,1-2 years,Region2,2,4,2,2,,2021-11-29 18:20:53 UTC,/site/hisp/beepbeepgov-website/contact/,nan,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36"
2023-08-27_17:35:06-5,955d5749-766f-,4,5,4,Group4,3-4 years,Region4,3,4,4,4,,2022-03-02 23:37:20 UTC,/contact/,nan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36"
2023-08-27_17:35:06-6,3a6521a7-8ecf-,4,4,4,Group4,2-3 years,Region4,2,2,2,2,,2022-03-03 16:57:47 UTC,/contact/,nan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36"
2023-08-27_17:35:06-7,752aa2c1-5b5d-,5,5,5,Group3,3-4 years,Region5,4,4,4,4,,2022-03-03 18:53:55 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36"
2023-08-27_17:35:06-8,7a29d617-0e0e-,3,4,3,Group3,2-3 years,Region3,1,3,3,3,,2022-03-03 22:26:54 UTC,/contact/,https://www.google.com/,"Mozilla/5.0 (Linux; Android 5.1.1; SM-T280) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.72 Safari/537.36"
2023-08-27_17:35:06-9,027ff6ac-9ce1-,4,4,4,Group4,3-4 years,Region4,4,4,4,4,,2022-03-04 16:51:32 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 Edg/98.0.1108.62"
2023-08-27_17:35:06-10,50f0b26e-9085-,3,3,4,Group2,1-2 years,Region3,3,3,3,2,,2022-03-04 19:20:43 UTC,/contact/,https://resources.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 Edg/98.0.1108.56"
